"country_name","PC1","PC2","PC3","PC4","PC5","PC1_pct","PC2_pct","PC3_pct","PC4_pct","PC5_pct"
"Mexico",0.376256146429425,3.20778850138384,2.0384925436718,-3.51724060935536,1.53451485078905,47.5,80.4,78.8,1.1,75.4
"Suriname",5.81971320441105,0.427229499163362,-3.11517425403909,-0.978643011349914,1.22951537926707,71.5,50.8,14,42.5,70.9
"Sweden",16.3081801892632,-2.64204912672639,1.23142189209546,3.63370388490332,1.58015088580362,99.4,21.8,67.6,92.7,77.7
"Switzerland",14.5765800149855,-3.07120975446295,-2.1143663317537,3.60298029359165,0.247038640779047,97.8,19,21.2,92.2,52
"Ghana",6.15939564546997,1.99181411009783,-1.8356195279131,-2.5457755221468,-2.11956037551027,73.2,69.3,25.1,9.5,17.9
"South Africa",6.93832223583746,2.27675857476041,0.451375191927573,-2.07845694211947,-2.86736901591833,75.4,72.6,57.5,17.3,10.6
"Japan",11.952677462154,-4.07743032080159,-0.494697907289876,0.997240316872898,0.478879026809616,90.5,12.8,40.2,70.4,59.2
"Burma/Myanmar",-17.664683933016,0.50793550569189,1.0557154743019,0.948516712957454,-0.932488798391647,2.8,53.1,63.7,69.3,35.2
"Russia",-10.9737199677153,-3.23259717961836,5.12700864255213,-1.23733011413581,-1.59996698513075,12.3,17.9,96.1,37.4,25.1
"Albania",3.25381392436943,2.2744529362905,-0.156013522125427,-1.93095957216807,2.14133190701181,59.8,72.1,45.3,20.1,83.8
"Egypt",-9.6790657514999,-2.65327844629464,-0.340963454261719,-1.37336090797257,-0.197030202795291,15.6,21.2,41.9,32.4,45.3
"Yemen",-15.4331226767111,6.81821808248409,0.00450901268927252,6.37062010488066,1.32612065065981,5,98.9,49.7,98.9,73.2
"Colombia",3.33830406245832,4.88951911578406,1.35712100658211,-1.65458505845814,-1.23837452126634,60.3,95,71.5,25.7,30.7
"Poland",10.127810106825,-0.0673215550624238,2.55998644836653,0.480130566630359,1.27292059178297,85.5,46.9,84.9,64.2,72.1
"Brazil",8.07100237500412,3.235514786847,0.696533410942966,-1.08818629555332,-3.66249988280471,78.8,81,59.2,41.9,3.9
"United States of America",6.61250588644078,1.48127842528657,5.15971805424801,1.54472586044449,-1.86427014617167,73.7,60.9,97.2,77.7,22.9
"Portugal",9.67687402979274,-2.21423779993934,-0.659843487918357,-0.5187001403873,0.507530772390876,83.2,22.9,36.9,49.7,59.8
"El Salvador",-5.85489386630617,2.49532880950047,0.831948984703256,-2.81269799586406,3.3165460407181,32.4,74.3,61.5,6.1,94.4
"Bangladesh",-5.9956125616083,3.65073194670814,-0.341553720417133,4.94180781046665,-2.00083672109127,30.7,84.9,41.3,97.2,21.8
"Bolivia",0.293405694896574,4.49334370503322,2.09892122153373,-3.1744625996571,0.806105857169154,46.4,92.7,79.3,2.2,65.9
"Haiti",-5.96358957152298,7.69628350134731,-6.67457150227579,5.35841439725427,1.57911975543123,31.3,100,0.6,98.3,77.1
"Honduras",3.16912219521268,5.90347907167588,-1.67849491990674,-1.28808214020742,0.700731753169939,58.7,97.2,27.4,35.8,64.2
