country_name,iso3,stakeholder,satisfaction
Afghanistan,AFG,Magicians,0.28483083079006
Afghanistan,AFG,Workhorses,0.14021389611512128
Afghanistan,AFG,Rentiers,0.5287489311805169
Afghanistan,AFG,Powerbrokers,0.8917910447761194
Albania,ALB,Magicians,0.5292600067066686
Albania,ALB,Workhorses,0.5670906177549238
Albania,ALB,Rentiers,0.45061466229006486
Albania,ALB,Powerbrokers,0.2920181700194679
Algeria,DZA,Magicians,0.4062406653774289
Algeria,DZA,Workhorses,0.33502818519456073
Algeria,DZA,Rentiers,0.5252112282166677
Algeria,DZA,Powerbrokers,0.8389960137202188
Angola,AGO,Magicians,0.424364682585251
Angola,AGO,Workhorses,0.277197566633132
Angola,AGO,Rentiers,0.5812392739067862
Angola,AGO,Powerbrokers,0.7718897747288402
Argentina,ARG,Magicians,0.5228118538909844
Argentina,ARG,Workhorses,0.5407770174325119
Argentina,ARG,Rentiers,0.5483811756582333
Argentina,ARG,Powerbrokers,0.6791624177250395
Armenia,ARM,Magicians,0.49742053538649217
Armenia,ARM,Workhorses,0.5390672191577102
Armenia,ARM,Rentiers,0.35569237342427806
Armenia,ARM,Powerbrokers,0.25860990080652635
Australia,AUS,Magicians,0.7162995166591419
Australia,AUS,Workhorses,0.9154104763956465
Australia,AUS,Rentiers,0.4507016144102093
Australia,AUS,Powerbrokers,0.024844720496894457
Austria,AUT,Magicians,0.7068672634260984
Austria,AUT,Workhorses,0.8334235619435377
Austria,AUT,Rentiers,0.5652020363110666
Austria,AUT,Powerbrokers,0.36645962732919257
Azerbaijan,AZE,Magicians,0.3764616267594093
Azerbaijan,AZE,Workhorses,0.2466652971138761
Azerbaijan,AZE,Rentiers,0.4723719300180709
Azerbaijan,AZE,Powerbrokers,0.6464494298692871
Bahrain,BHR,Magicians,0.4581428339669626
Bahrain,BHR,Workhorses,0.3609385556954583
Bahrain,BHR,Rentiers,0.4389145522688237
Bahrain,BHR,Powerbrokers,0.26417215166404
Bangladesh,BGD,Magicians,0.3866863950816895
Bangladesh,BGD,Workhorses,0.4250505046086866
Bangladesh,BGD,Rentiers,0.4046853066105249
Bangladesh,BGD,Powerbrokers,0.6208398998794846
Barbados,BRB,Magicians,0.6002530115048822
Barbados,BRB,Workhorses,0.7769502685229572
Barbados,BRB,Rentiers,0.44247586750396944
Barbados,BRB,Powerbrokers,0.25465838509316774
Belarus,BLR,Magicians,0.3672519359681171
Belarus,BLR,Workhorses,0.3573310681846845
Belarus,BLR,Rentiers,0.3968830049949664
Belarus,BLR,Powerbrokers,0.619715861685362
Belgium,BEL,Magicians,0.7303367807592404
Belgium,BEL,Workhorses,0.8273522404808409
Belgium,BEL,Rentiers,0.5374773300997628
Belgium,BEL,Powerbrokers,0.16149068322981364
Benin,BEN,Magicians,0.4868687435780933
Benin,BEN,Workhorses,0.4632278229324887
Benin,BEN,Rentiers,0.5293523528483458
Benin,BEN,Powerbrokers,0.4500324464633355
Bhutan,BTN,Magicians,0.49838467465799835
Bhutan,BTN,Workhorses,0.7136249483272706
Bhutan,BTN,Rentiers,0.37588481201031165
Bhutan,BTN,Powerbrokers,0.522225827384815
Bolivia,BOL,Magicians,0.44907580835589594
Bolivia,BOL,Workhorses,0.3775780456820797
Bolivia,BOL,Rentiers,0.5206483831031378
Bolivia,BOL,Powerbrokers,0.7201840177992027
Bosnia and Herzegovina,BIH,Magicians,0.5416365872311084
Bosnia and Herzegovina,BIH,Workhorses,0.5066904478286764
Bosnia and Herzegovina,BIH,Rentiers,0.5080335390978858
Bosnia and Herzegovina,BIH,Powerbrokers,0.35855659590247524
Botswana,BWA,Magicians,0.5114599130103802
Botswana,BWA,Workhorses,0.6211637206588636
Botswana,BWA,Rentiers,0.371291753201489
